subset_id,netflix_id
0,8
1,17
2,18
3,26
4,28
5,30
6,33
7,44
8,46
9,47
10,48
11,52
12,55
13,58
14,77
15,78
16,79
17,83
18,97
19,104
20,108
21,111
22,118
23,122
24,138
25,143
26,148
27,152
28,156
29,165
30,166
31,167
32,171
33,175
34,180
35,181
36,187
37,188
38,189
39,191
40,197
41,199
42,201
43,205
44,206
45,213
46,215
47,216
48,223
49,224
50,225
51,238
52,239
53,240
54,241
55,242
56,248
57,252
58,253
59,255
60,256
61,257
62,262
63,268
64,269
65,270
66,273
67,275
68,281
69,283
70,285
71,290
72,295
73,297
74,299
75,305
76,311
77,312
78,313
79,316
80,325
81,329
82,330
83,331
84,334
85,345
86,348
87,353
88,356
89,357
90,358
91,360
92,361
93,367
94,378
95,381
96,385
97,393
98,395
99,397
100,398
101,405
102,406
103,410
104,413
105,416
106,422
107,424
108,425
109,426
110,430
111,431
112,432
113,433
114,436
115,438
116,442
117,443
118,445
119,456
120,457
121,459
122,467
123,468
124,471
125,473
126,482
127,483
128,486
129,488
130,494
131,499
132,501
133,516
134,517
135,518
136,524
137,528
138,534
139,550
140,551
141,554
142,561
143,563
144,564
145,569
146,571
147,580
148,588
149,599
150,602
151,607
152,615
153,620
154,621
155,629
156,631
157,636
158,645
159,646
160,652
161,658
162,659
163,660
164,661
165,662
166,668
167,670
168,674
169,677
170,680
171,682
172,685
173,686
174,689
175,692
176,696
177,700
178,705
179,708
180,711
181,717
182,720
183,722
184,723
185,725
186,730
187,734
188,746
189,748
190,750
191,751
192,752
193,758
194,759
195,760
196,762
197,763
198,774
199,788
200,789
201,798
202,799
203,807
204,809
205,811
206,818
207,819
208,822
209,825
210,829
211,831
212,832
213,833
214,840
215,843
216,846
217,851
218,859
219,862
220,871
221,872
222,880
223,886
224,896
225,897
226,900
227,907
228,908
229,918
230,919
231,937
232,940
233,953
234,954
235,962
236,963
237,971
238,985
239,986
240,989
241,992
242,994
243,996
244,1001
245,1011
246,1012
247,1020
248,1022
249,1026
250,1027
251,1035
252,1044
253,1046
254,1047
255,1050
256,1058
257,1060
258,1066
259,1067
260,1068
261,1073
262,1075
263,1080
264,1084
265,1094
266,1096
267,1098
268,1100
269,1102
270,1104
271,1110
272,1111
273,1114
274,1126
275,1128
276,1138
277,1140
278,1142
279,1144
280,1145
281,1148
282,1151
283,1160
284,1163
285,1167
286,1174
287,1175
288,1176
289,1180
290,1193
291,1202
292,1220
293,1224
294,1226
295,1236
296,1245
297,1250
298,1252
299,1255
300,1256
301,1262
302,1264
303,1266
304,1267
305,1282
306,1289
307,1292
308,1295
309,1296
310,1297
311,1300
312,1305
313,1307
314,1314
315,1324
316,1336
317,1357
318,1367
319,1370
320,1375
321,1389
322,1394
323,1395
