movie_id,customer_id,rating,date,split
284,305,4.0,2000-01-07,val
519,305,4.0,2000-01-07,train
107,915,4.0,2000-01-10,train
863,485,2.0,2000-01-10,train
872,485,4.0,2000-01-10,train
72,915,1.0,2000-01-10,val
874,915,3.0,2000-01-10,train
279,915,2.0,2000-01-10,train
906,485,1.0,2000-01-10,train
72,485,1.0,2000-01-10,train
279,485,3.0,2000-01-10,train
934,485,2.0,2000-01-10,val
982,915,1.0,2000-01-10,val
982,485,1.0,2000-01-10,train
906,915,1.0,2000-01-10,train
874,818,3.0,2000-01-16,train
33,818,5.0,2000-01-16,val
412,818,5.0,2000-01-16,train
318,818,3.0,2000-01-16,train
712,818,5.0,2000-01-16,train
603,818,3.0,2000-01-16,train
980,818,5.0,2000-01-16,val
634,818,4.0,2000-01-16,val
934,818,2.0,2000-01-16,train
799,19,5.0,2000-01-27,train
722,19,5.0,2000-01-27,train
863,19,1.0,2000-01-27,train
980,19,4.0,2000-01-27,val
151,19,4.0,2000-01-27,train
519,19,3.0,2000-01-27,train
205,19,3.0,2000-01-27,train
750,19,5.0,2000-01-27,train
458,19,3.0,2000-01-27,train
199,19,2.0,2000-01-27,train
318,19,1.0,2000-01-27,train
705,19,1.0,2000-01-27,train
843,19,4.0,2000-01-27,train
649,19,5.0,2000-03-01,train
649,818,5.0,2000-03-01,train
199,305,3.0,2000-03-12,train
842,915,3.0,2000-03-19,train
199,485,5.0,2000-03-21,train
922,593,4.0,2000-03-28,train
705,935,2.0,2000-04-05,train
549,935,4.0,2000-04-05,val
922,935,1.0,2000-04-05,train
634,935,4.0,2000-04-05,val
238,935,3.0,2000-04-05,train
872,305,2.0,2000-04-09,train
972,935,3.0,2000-04-12,train
199,915,5.0,2000-04-13,train
641,19,2.0,2000-04-18,train
905,935,1.0,2000-04-18,train
221,935,2.0,2000-04-21,train
504,935,5.0,2000-04-21,train
238,818,2.0,2000-04-23,train
603,19,2.0,2000-04-24,train
943,631,5.0,2000-04-25,train
750,631,4.0,2000-04-25,train
960,935,5.0,2000-04-25,train
489,935,3.0,2000-04-25,train
705,631,4.0,2000-04-25,train
893,305,2.0,2000-04-26,train
954,593,1.0,2000-04-30,train
412,935,3.0,2000-05-03,train
82,935,4.0,2000-05-03,val
315,935,5.0,2000-05-03,train
81,305,4.0,2000-05-08,train
483,935,3.0,2000-05-09,train
388,818,4.0,2000-05-20,train
504,818,5.0,2000-05-20,train
960,818,5.0,2000-05-20,val
389,818,3.0,2000-05-20,train
496,818,5.0,2000-05-20,val
146,935,5.0,2000-06-07,train
367,818,4.0,2000-07-11,train
483,481,2.0,2000-07-24,train
81,481,4.0,2000-07-24,val
350,56,3.0,2000-08-07,train
980,56,3.0,2000-08-07,train
205,56,4.0,2000-08-07,train
374,56,4.0,2000-08-07,val
507,56,3.0,2000-08-07,train
960,56,5.0,2000-08-07,train
549,56,3.0,2000-08-07,train
379,56,1.0,2000-08-07,train
822,56,3.0,2000-08-07,train
279,56,2.0,2000-08-07,val
922,56,3.0,2000-08-07,train
175,56,4.0,2000-08-07,train
200,56,5.0,2000-08-07,train
72,56,2.0,2000-08-07,train
512,56,3.0,2000-08-07,train
649,56,5.0,2000-08-07,train
151,56,5.0,2000-08-07,train
715,56,4.0,2000-08-07,train
475,56,4.0,2000-08-07,train
492,56,3.0,2000-08-07,val
483,818,5.0,2000-08-07,train
962,56,3.0,2000-08-08,val
291,56,3.0,2000-08-08,train
