movie_id,customer_id,rating,date,split
661,622,4.0,1999-12-22,train
302,622,1.0,1999-12-22,train
949,622,3.0,1999-12-22,val
848,622,3.0,1999-12-22,train
215,133,5.0,1999-12-25,val
915,133,1.0,1999-12-25,train
631,133,3.0,1999-12-25,val
376,133,3.0,1999-12-25,val
13,250,2.0,2000-01-08,train
65,250,3.0,2000-01-08,train
129,250,3.0,2000-01-08,train
569,250,1.0,2000-01-08,train
401,250,3.0,2000-01-08,train
65,509,2.0,2000-01-14,train
507,509,2.0,2000-01-15,train
337,509,4.0,2000-01-15,train
843,509,2.0,2000-01-15,val
938,509,4.0,2000-01-15,train
658,622,5.0,2000-01-21,train
118,622,4.0,2000-01-21,train
31,601,4.0,2000-01-29,train
896,601,3.0,2000-01-29,train
538,601,3.0,2000-01-29,train
137,601,4.0,2000-01-29,train
981,601,3.0,2000-01-29,train
702,601,4.0,2000-01-29,val
981,167,1.0,2000-02-06,val
695,167,3.0,2000-02-06,train
631,167,3.0,2000-02-06,train
928,167,2.0,2000-02-06,val
934,167,4.0,2000-02-06,train
674,622,4.0,2000-02-15,train
356,622,4.0,2000-02-15,val
403,312,4.0,2000-02-16,val
302,312,3.0,2000-02-16,train
695,312,3.0,2000-02-16,train
159,312,3.0,2000-02-16,train
14,312,3.0,2000-02-16,train
843,167,5.0,2000-02-26,train
118,167,4.0,2000-02-26,train
915,167,5.0,2000-02-26,val
537,329,5.0,2000-03-01,train
629,167,5.0,2000-03-01,train
629,622,5.0,2000-03-01,train
805,167,5.0,2000-03-01,train
356,312,4.0,2000-03-03,train
221,448,4.0,2000-03-08,train
463,697,4.0,2000-03-11,train
65,697,4.0,2000-03-11,train
137,697,4.0,2000-03-11,val
261,697,5.0,2000-03-11,train
9,697,3.0,2000-03-11,train
482,697,3.0,2000-03-11,train
302,697,2.0,2000-03-11,train
695,697,2.0,2000-03-11,val
367,697,4.0,2000-03-11,train
403,697,4.0,2000-03-11,train
138,697,5.0,2000-03-11,train
859,697,2.0,2000-03-11,train
129,697,4.0,2000-03-11,train
337,697,5.0,2000-03-11,val
507,697,2.0,2000-03-11,val
913,697,3.0,2000-03-11,val
938,697,3.0,2000-03-11,train
631,697,3.0,2000-03-11,train
913,807,3.0,2000-03-16,train
934,807,4.0,2000-03-16,train
437,133,3.0,2000-03-17,train
895,585,2.0,2000-03-19,train
783,64,2.0,2000-03-24,train
629,697,5.0,2000-03-29,val
376,141,3.0,2000-03-29,train
482,167,1.0,2000-04-04,train
546,312,3.0,2000-04-04,train
790,133,2.0,2000-04-08,train
31,133,2.0,2000-04-15,train
159,697,2.0,2000-04-16,train
138,133,3.0,2000-04-17,train
956,12,4.0,2000-04-19,train
314,133,4.0,2000-04-21,val
629,133,4.0,2000-04-21,val
2,64,2.0,2000-04-22,train
652,655,2.0,2000-04-24,train
956,312,5.0,2000-04-25,train
363,697,3.0,2000-04-27,train
23,697,4.0,2000-04-27,train
771,697,3.0,2000-04-27,train
356,697,3.0,2000-04-27,train
296,697,4.0,2000-04-27,train
652,633,2.0,2000-05-01,train
182,633,1.0,2000-05-01,train
221,633,4.0,2000-05-01,train
881,133,3.0,2000-05-01,train
617,141,3.0,2000-05-01,train
490,633,4.0,2000-05-01,train
186,133,2.0,2000-05-02,train
221,537,4.0,2000-05-06,train
38,537,5.0,2000-05-06,train
617,537,4.0,2000-05-06,train
13,537,4.0,2000-05-06,train
658,537,5.0,2000-05-06,train
728,537,1.0,2000-05-06,train
537,537,1.0,2000-05-06,train
695,537,5.0,2000-05-06,train
363,537,5.0,2000-05-06,train
482,537,1.0,2000-05-06,train
701,537,2.0,2000-05-06,train
737,537,5.0,2000-05-06,train
118,537,5.0,2000-05-06,val
848,537,1.0,2000-05-06,train
